[213] creation 8140, exit 9021, response 881, execution 14, wait 865, io 2
[214] creation 8141, exit 8798, response 657, execution 8, wait 570, io 79
[216] creation 8143, exit 11326, response 3183, execution 2, wait 2891, io 290
[217] creation 8144, exit 8988, response 844, execution 42, wait 727, io 75
[218] creation 8145, exit 8998, response 853, execution 93, wait 660, io 100
[252] creation 9028, exit 9064, response 36, execution 35, wait 1, io 0
[253] creation 9064, exit 9637, response 573, execution 2, wait 61, io 510
[257] creation 9069, exit 9073, response 4, execution 1, wait 3, io 0
[258] creation 9070, exit 9376, response 306, execution 93, wait 98, io 115
[261] creation 9431, exit 9692, response 261, execution 1, wait 260, io 0
[262] creation 9432, exit 9473, response 41, execution 9, wait 26, io 6
[263] creation 9433, exit 9650, response 217, execution 27, wait 187, io 3
[264] creation 9436, exit 9686, response 250, execution 80, wait 168, io 2
[265] creation 9437, exit 9610, response 173, execution 51, wait 121, io 1
[251] creation 9026, exit 10007, response 981, execution 92, wait 2278, io 9
[266] creation 9438, exit 9736, response 298, execution 130, wait 167, io 1
[267] creation 9737, exit 10010, response 273, execution 163, wait 1504, io 5
[260] creation 9072, exit 10013, response 941, execution 148, wait 2188, io 3
[268] creation 9879, exit 9918, response 39, execution 39, wait 0, io 0
[269] creation 9918, exit 9923, response 5, execution 5, wait 0, io 0
[270] creation 9923, exit 9927, response 4, execution 2, wait 2, io 0
[271] creation 9927, exit 9928, response 1, execution 1, wait 0, io 0
[272] creation 9928, exit 11424, response 1496, execution 5, wait 1491, io 0
[255] creation 9067, exit 11440, response 2373, execution 5, wait 2215, io 153
[273] creation 9929, exit 10502, response 573, execution 1, wait 486, io 86
[274] creation 9930, exit 11284, response 1354, execution 5, wait 1265, io 84
[275] creation 9931, exit 10514, response 583, execution 1, wait 499, io 83
[277] creation 9933, exit 10514, response 581, execution 3, wait 497, io 81
[278] creation 9934, exit 10017, response 83, execution 1, wait 2, io 80
[279] creation 9935, exit 11219, response 1284, execution 78, wait 1131, io 79
[280] creation 9936, exit 10388, response 452, execution 15, wait 359, io 78
[249] creation 8246, exit 8821, response 575, execution 2, wait 572, io 1
[250] creation 8247, exit 9026, response 779, execution 98, wait 681, io 0
[259] creation 9071, exit 11481, response 2410, execution 116, wait 2292, io 2
[281] creation 9937, exit 11152, response 1215, execution 21, wait 1117, io 77
[282] creation 9938, exit 11176, response 1238, execution 30, wait 1132, io 76
[283] creation 9939, exit 10698, response 759, execution 10, wait 643, io 106
[284] creation 9940, exit 10791, response 851, execution 18, wait 717, io 116
[286] creation 9942, exit 11348, response 1406, execution 12, wait 1322, io 72
[287] creation 9943, exit 11362, response 1419, execution 9, wait 1339, io 71
[288] creation 9944, exit 10539, response 595, execution 1, wait 444, io 150
[290] creation 9945, exit 10392, response 447, execution 1, wait 87, io 359
[291] creation 9946, exit 10801, response 855, execution 63, wait 717, io 75
[292] creation 9947, exit 10368, response 421, execution 28, wait 323, io 70
[293] creation 9948, exit 11012, response 1064, execution 88, wait 909, io 67
[294] creation 9949, exit 10946, response 997, execution 82, wait 847, io 68
[295] creation 9950, exit 11216, response 1266, execution 120, wait 1080, io 66
[285] creation 9941, exit 11531, response 1590, execution 6, wait 1581, io 3
[296] creation 9951, exit 10097, response 146, execution 0, wait 80, io 66
[297] creation 9952, exit 10312, response 360, execution 21, wait 271, io 68
[298] creation 9953, exit 10966, response 1013, execution 1, wait 43, io 969
[299] creation 9954, exit 10996, response 1042, execution 65, wait 916, io 61
[300] creation 9955, exit 10740, response 785, execution 1, wait 3, io 781
[301] creation 9956, exit 10288, response 332, execution 1, wait 272, io 59
[302] creation 9957, exit 10693, response 736, execution 73, wait 604, io 59
[303] creation 9958, exit 11310, response 1352, execution 129, wait 1157, io 66
[304] creation 9959, exit 11473, response 1514, execution 0, wait 370, io 1144
[305] creation 9960, exit 11282, response 1322, execution 82, wait 1185, io 55
[306] creation 9961, exit 11288, response 1327, execution 156, wait 1119, io 55
[307] creation 9962, exit 10728, response 766, execution 81, wait 627, io 58
[308] creation 9963, exit 11439, response 1476, execution 87, wait 1337, io 52
[309] creation 9964, exit 11144, response 1180, execution 96, wait 1033, io 51
[276] creation 9932, exit 11692, response 1760, execution 51, wait 1697, io 12
[215] creation 8142, exit 11749, response 3607, execution 181, wait 3426, io 0
