[12] creation 232, exit 452, response 220, execution 184, wait 35, io 1
[17] creation 235, exit 496, response 261, execution 42, wait 218, io 1
[19] creation 236, exit 583, response 347, execution 86, wait 260, io 1
[21] creation 237, exit 587, response 350, execution 2, wait 347, io 1
[23] creation 238, exit 681, response 443, execution 93, wait 350, io 0
[27] creation 240, exit 720, response 480, execution 36, wait 444, io 0
[33] creation 243, exit 727, response 484, execution 1, wait 483, io 0
[25] creation 239, exit 819, response 580, execution 84, wait 496, io 0
[35] creation 244, exit 1009, response 765, execution 92, wait 664, io 9
[37] creation 245, exit 1017, response 772, execution 112, wait 659, io 1
[39] creation 246, exit 1158, response 912, execution 137, wait 775, io 0
[41] creation 247, exit 1161, response 914, execution 2, wait 909, io 3
[43] creation 248, exit 1171, response 923, execution 9, wait 912, io 2
[45] creation 249, exit 1199, response 950, execution 27, wait 921, io 2
[49] creation 251, exit 1251, response 1000, execution 50, wait 948, io 2
[47] creation 250, exit 1362, response 1112, execution 83, wait 1027, io 2
[51] creation 253, exit 1499, response 1246, execution 162, wait 1083, io 1
[53] creation 254, exit 1541, response 1287, execution 39, wait 1248, io 0
[55] creation 255, exit 1547, response 1292, execution 5, wait 1286, io 1
[57] creation 256, exit 1550, response 1294, execution 2, wait 1291, io 1
[59] creation 257, exit 1553, response 1296, execution 1, wait 1294, io 1
[61] creation 258, exit 1558, response 1300, execution 4, wait 1295, io 1
[63] creation 259, exit 1560, response 1301, execution 1, wait 1299, io 1
[65] creation 260, exit 1567, response 1307, execution 5, wait 1302, io 0
[67] creation 261, exit 1570, response 1309, execution 1, wait 1308, io 0
[69] creation 262, exit 1622, response 1360, execution 51, wait 1309, io 0
[71] creation 263, exit 1627, response 1364, execution 3, wait 1361, io 0
[72] creation 264, exit 1629, response 1365, execution 1, wait 1364, io 0
[74] creation 266, exit 1647, response 1381, execution 16, wait 1365, io 0
[50] creation 252, exit 1810, response 1558, execution 128, wait 1418, io 12
[73] creation 265, exit 1887, response 1622, execution 75, wait 1539, io 8
[76] creation 267, exit 1909, response 1642, execution 22, wait 1613, io 7
[77] creation 268, exit 1940, response 1672, execution 31, wait 1616, io 25
[78] creation 269, exit 1952, response 1683, execution 10, wait 1640, io 33
[79] creation 270, exit 1970, response 1700, execution 17, wait 1651, io 32
[80] creation 271, exit 1978, response 1707, execution 7, wait 1667, io 33
[81] creation 272, exit 1991, response 1719, execution 12, wait 1673, io 34
[82] creation 273, exit 2001, response 1728, execution 8, wait 1687, io 33
[85] creation 276, exit 2061, response 1785, execution 57, wait 1695, io 33
[86] creation 277, exit 2086, response 1809, execution 24, wait 1752, io 33
[87] creation 278, exit 2246, response 1968, execution 82, wait 1879, io 7
[88] creation 279, exit 2249, response 1970, execution 78, wait 1860, io 32
[89] creation 280, exit 2366, response 2086, execution 115, wait 1939, io 32
[90] creation 281, exit 2369, response 2088, execution 1, wait 2054, io 33
[91] creation 282, exit 2389, response 2107, execution 19, wait 2055, io 33
[93] creation 284, exit 2453, response 2169, execution 63, wait 2074, io 32
[95] creation 286, exit 2458, response 2172, execution 2, wait 2138, io 32
[96] creation 287, exit 2526, response 2239, execution 67, wait 2140, io 32
[97] creation 288, exit 2645, response 2357, execution 118, wait 2207, io 32
[99] creation 290, exit 2818, response 2528, execution 82, wait 2414, io 32
[100] creation 291, exit 2885, response 2594, execution 154, wait 2409, io 31
[101] creation 292, exit 3044, response 2752, execution 80, wait 2641, io 31
[102] creation 293, exit 3059, response 2766, execution 87, wait 2648, io 31
[103] creation 294, exit 3236, response 2942, execution 95, wait 2814, io 33
[83] creation 274, exit 3301, response 3027, execution 1, wait 1704, io 1322
[31] creation 242, exit 3361, response 3119, execution 2, wait 480, io 2637
[84] creation 275, exit 3544, response 3269, execution 1, wait 1694, io 1574
[14] creation 233, exit 3600, response 3367, execution 3, wait 31, io 3333
[29] creation 241, exit 3753, response 3512, execution 1, wait 481, io 3030
[10] creation 231, exit 3817, response 3586, execution 13, wait 20, io 3553
[9] creation 229, exit 3820, response 3591, execution 20, wait 2, io 3569
[94] creation 285, exit 3893, response 3608, execution 1, wait 2138, io 1469
[92] creation 283, exit 4315, response 4032, execution 0, wait 2085, io 1947
[98] creation 289, exit 4503, response 4214, execution 1, wait 2326, io 1887
