[119] creation 4512, exit 4595, response 83, execution 2, wait 85, io 38
[132] creation 4519, exit 4667, response 148, execution 1, wait 102, io 125
[143] creation 4525, exit 4669, response 144, execution 1, wait 116, io 123
[162] creation 4536, exit 4796, response 260, execution 0, wait 126, io 134
[160] creation 4535, exit 4828, response 293, execution 1, wait 158, io 134
[171] creation 4541, exit 4869, response 328, execution 0, wait 194, io 134
[167] creation 4539, exit 4910, response 371, execution 1, wait 236, io 134
[145] creation 4526, exit 4935, response 409, execution 9, wait 349, io 51
[158] creation 4534, exit 4971, response 437, execution 4, wait 299, io 134
[174] creation 4544, exit 5018, response 474, execution 0, wait 340, io 134
[164] creation 4537, exit 5057, response 520, execution 3, wait 383, io 134
[146] creation 4527, exit 5632, response 1105, execution 28, wait 1036, io 546
[115] creation 4510, exit 5703, response 1193, execution 46, wait 1156, io 428
[117] creation 4511, exit 6086, response 1575, execution 90, wait 1497, io 44
[121] creation 4513, exit 6144, response 1631, execution 98, wait 1533, io 0
[126] creation 4516, exit 5580, response 1064, execution 36, wait 1047, io 549
[128] creation 4517, exit 6152, response 1635, execution 1, wait 225, io 1409
[150] creation 4529, exit 5897, response 1368, execution 48, wait 1211, io 369
[156] creation 4533, exit 5810, response 1277, execution 38, wait 1145, io 449
[111] creation 4505, exit 6166, response 1661, execution 18, wait 74, io 1569
[169] creation 4540, exit 5226, response 686, execution 5, wait 596, io 1033
[172] creation 4542, exit 5987, response 1445, execution 53, wait 1315, io 272
[112] creation 4507, exit 6183, response 1676, execution 12, wait 33, io 1631
[173] creation 4543, exit 5188, response 645, execution 3, wait 573, io 1071
[191] creation 4561, exit 6719, response 2158, execution 1, wait 497, io 1660
[113] creation 4508, exit 6528, response 2020, execution 210, wait 1831, io 172
[123] creation 4514, exit 6544, response 2030, execution 85, wait 1893, io 232
[137] creation 4522, exit 6301, response 1779, execution 113, wait 1642, io 450
[141] creation 4524, exit 6485, response 1961, execution 150, wait 1790, io 266
[152] creation 4531, exit 6482, response 1951, execution 140, wait 1709, io 355
[154] creation 4532, exit 6575, response 2043, execution 172, wait 1766, io 270
[176] creation 4546, exit 6682, response 2136, execution 16, wait 647, io 1535
[177] creation 4547, exit 6708, response 2161, execution 22, wait 656, io 1523
[179] creation 4549, exit 6651, response 2102, execution 10, wait 627, io 1567
[180] creation 4550, exit 6694, response 2144, execution 17, wait 651, io 1540
[181] creation 4551, exit 6620, response 2069, execution 6, wait 606, io 1600
[182] creation 4552, exit 6667, response 2115, execution 12, wait 644, io 1560
[183] creation 4553, exit 6630, response 2077, execution 7, wait 623, io 1590
[196] creation 4566, exit 6796, response 2230, execution 1, wait 566, io 1755
[178] creation 4548, exit 6812, response 2264, execution 32, wait 723, io 1589
[184] creation 4554, exit 6896, response 2342, execution 0, wait 651, io 1691
[187] creation 4557, exit 6792, response 2235, execution 24, wait 707, io 1613
[114] creation 4509, exit 7491, response 2982, execution 0, wait 139, io 2843
[130] creation 4518, exit 7492, response 2974, execution 1, wait 183, io 2790
[175] creation 4545, exit 7469, response 2924, execution 76, wait 1623, io 1252
[148] creation 4528, exit 7498, response 2970, execution 82, wait 1334, io 1554
[185] creation 4555, exit 7501, response 2946, execution 2, wait 597, io 2347
[186] creation 4556, exit 7191, response 2635, execution 62, wait 1072, io 1813
[192] creation 4562, exit 6989, response 2427, execution 19, wait 776, io 2151
[194] creation 4564, exit 7463, response 2899, execution 65, wait 1199, io 1685
[197] creation 4567, exit 7534, response 2967, execution 70, wait 1232, io 1665
[189] creation 4559, exit 7552, response 2993, execution 78, wait 1300, io 1615
[135] creation 4521, exit 7649, response 3128, execution 111, wait 1452, io 1565
[195] creation 4565, exit 7678, response 3113, execution 1, wait 714, io 2398
[203] creation 4573, exit 7733, response 3160, execution 83, wait 1216, io 1861
[190] creation 4560, exit 7740, response 3180, execution 112, wait 1408, io 1660
[198] creation 4568, exit 7791, response 3223, execution 121, wait 1437, io 1665
[188] creation 4558, exit 7869, response 3311, execution 90, wait 1569, io 1652
[193] creation 4563, exit 7883, response 3320, execution 0, wait 778, io 2542
[201] creation 4571, exit 7953, response 3382, execution 152, wait 1466, io 1764
[202] creation 4572, exit 8094, response 3522, execution 77, wait 1142, io 2303
[200] creation 4570, exit 8115, response 3545, execution 85, wait 1273, io 2187
[199] creation 4569, exit 8131, response 3562, execution 1, wait 763, io 2798
[204] creation 4574, exit 8137, response 3563, execution 93, wait 1177, io 2293
