[31] creation 278, exit 281, response 3, execution 3, wait 0, io 0
[43] creation 323, exit 359, response 36, execution 2, wait 210, io 67
[37] creation 289, exit 520, response 231, execution 2, wait 7, io 241
[39] creation 291, exit 293, response 2, execution 0, wait 1, io 0
[44] creation 324, exit 352, response 28, execution 11, wait 90, io 131
[45] creation 325, exit 518, response 193, execution 31, wait 249, io 19
[10] creation 258, exit 650, response 392, execution 9, wait 22, io 361
[51] creation 331, exit 405, response 74, execution 6, wait 52, io 154
[20] creation 261, exit 680, response 419, execution 2, wait 1, io 416
[52] creation 332, exit 378, response 46, execution 2, wait 36, io 169
[53] creation 333, exit 377, response 44, execution 0, wait 10, io 34
[78] creation 369, exit 723, response 354, execution 22, wait 331, io 1
[34] creation 286, exit 713, response 427, execution 42, wait 385, io 0
[50] creation 330, exit 742, response 412, execution 46, wait 329, io 37
[54] creation 334, exit 547, response 213, execution 8, wait 38, io 166
[55] creation 335, exit 379, response 44, execution 2, wait 10, io 32
[29] creation 266, exit 779, response 513, execution 52, wait 461, io 0
[56] creation 336, exit 406, response 70, execution 7, wait 53, io 148
[57] creation 337, exit 380, response 43, execution 1, wait 12, io 30
[47] creation 327, exit 814, response 487, execution 57, wait 391, io 39
[58] creation 338, exit 832, response 494, execution 60, wait 405, io 29
[35] creation 287, exit 849, response 562, execution 1, wait 1, io 560
[59] creation 339, exit 385, response 46, execution 3, wait 15, io 28
[60] creation 340, exit 384, response 44, execution 0, wait 16, io 27
[62] creation 342, exit 359, response 17, execution 16, wait 2, io 9
[63] creation 352, exit 491, response 139, execution 25, wait 181, io 46
[64] creation 354, exit 662, response 308, execution 35, wait 257, io 16
[65] creation 355, exit 430, response 75, execution 13, wait 95, io 102
[66] creation 357, exit 450, response 93, execution 20, wait 127, io 81
[67] creation 358, exit 411, response 53, execution 8, wait 59, io 122
[68] creation 359, exit 434, response 75, execution 14, wait 100, io 95
[69] creation 360, exit 417, response 57, execution 9, wait 69, io 111
[70] creation 361, exit 520, response 159, execution 1, wait 28, io 141
[71] creation 362, exit 683, response 321, execution 2, wait 22, io 297
[61] creation 341, exit 992, response 651, execution 88, wait 390, io 173
[72] creation 363, exit 868, response 505, execution 66, wait 430, io 9
[73] creation 364, exit 510, response 146, execution 30, wait 209, io 20
[75] creation 366, exit 998, response 632, execution 89, wait 473, io 69
[77] creation 368, exit 525, response 157, execution 3, wait 34, io 137
[80] creation 373, exit 956, response 583, execution 81, wait 436, io 66
[84] creation 454, exit 537, response 83, execution 4, wait 11, io 73
[85] creation 455, exit 978, response 523, execution 85, wait 364, io 74
[46] creation 326, exit 1057, response 731, execution 103, wait 459, io 169
[30] creation 273, exit 1068, response 795, execution 107, wait 690, io 0
[74] creation 365, exit 1066, response 701, execution 106, wait 464, io 134
[88] creation 459, exit 1024, response 565, execution 95, wait 392, io 78
[91] creation 462, exit 989, response 527, execution 88, wait 367, io 72
[40] creation 298, exit 1101, response 803, execution 116, wait 496, io 191
[32] creation 283, exit 1111, response 828, execution 119, wait 709, io 0
[92] creation 463, exit 1064, response 601, execution 105, wait 435, io 61
[93] creation 482, exit 1112, response 630, execution 119, wait 467, io 44
[33] creation 285, exit 1136, response 851, execution 105, wait 741, io 5
[41] creation 303, exit 1148, response 845, execution 135, wait 709, io 0
[76] creation 367, exit 1158, response 791, execution 140, wait 582, io 69
[83] creation 453, exit 1180, response 727, execution 1, wait 4, io 722
[48] creation 328, exit 1204, response 876, execution 162, wait 677, io 37
[86] creation 456, exit 1233, response 777, execution 155, wait 561, io 61
[90] creation 460, exit 1240, response 780, execution 182, wait 598, io 0
[42] creation 304, exit 1245, response 941, execution 186, wait 754, io 0
[49] creation 329, exit 1257, response 928, execution 198, wait 692, io 38
[13] creation 259, exit 1293, response 1034, execution 234, wait 800, io 0
[79] creation 371, exit 1422, response 1051, execution 2, wait 30, io 1019
[9] creation 256, exit 1514, response 1258, execution 15, wait 838, io 405
[87] creation 458, exit 1695, response 1237, execution 2, wait 88, io 1147
