[20] creation 1003, exit 1053, response 50, execution 44, wait 3, io 2
[30] creation 1005, exit 1019, response 14, execution 6, wait 5, io 3
[42] creation 1009, exit 1104, response 95, execution 44, wait 51, io 0
[24] creation 1004, exit 1110, response 106, execution 100, wait 2, io 3
[50] creation 1012, exit 1122, response 110, execution 1, wait 108, io 1
[36] creation 1007, exit 1147, response 140, execution 128, wait 10, io 2
[12] creation 1001, exit 1201, response 200, execution 194, wait 2, io 3
[40] creation 1008, exit 1214, response 206, execution 98, wait 107, io 0
[56] creation 1016, exit 1218, response 202, execution 2, wait 200, io 0
[57] creation 1017, exit 1229, response 212, execution 9, wait 201, io 2
[54] creation 1014, exit 1243, response 229, execution 119, wait 110, io 0
[58] creation 1018, exit 1261, response 243, execution 30, wait 211, io 2
[53] creation 1013, exit 1282, response 269, execution 107, wait 159, io 3
[55] creation 1015, exit 1332, response 317, execution 156, wait 161, io 43
[60] creation 1020, exit 1300, response 280, execution 54, wait 226, io 76
[63] creation 1023, exit 1375, response 352, execution 43, wait 311, io 3
[59] creation 1019, exit 1382, response 363, execution 95, wait 266, io 2
[65] creation 1025, exit 1387, response 362, execution 2, wait 358, io 2
[64] creation 1024, exit 1389, response 365, execution 6, wait 355, io 3
[66] creation 1026, exit 1390, response 364, execution 1, wait 362, io 1
[67] creation 1027, exit 1396, response 369, execution 5, wait 362, io 1
[68] creation 1028, exit 1399, response 371, execution 1, wait 370, io 0
[70] creation 1030, exit 1402, response 372, execution 1, wait 371, io 0
[69] creation 1029, exit 1408, response 379, execution 7, wait 371, io 0
[72] creation 1032, exit 1413, response 381, execution 2, wait 378, io 0
[61] creation 1021, exit 1415, response 394, execution 150, wait 242, io 2
[73] creation 1033, exit 1417, response 384, execution 1, wait 382, io 0
[75] creation 1035, exit 1436, response 401, execution 18, wait 383, io 0
[76] creation 1036, exit 1445, response 409, execution 24, wait 386, io 1
[71] creation 1031, exit 1463, response 432, execution 59, wait 373, io 0
[78] creation 1038, exit 1477, response 439, execution 12, wait 420, io 6
[77] creation 1037, exit 1482, response 445, execution 35, wait 407, io 3
[62] creation 1022, exit 1482, response 460, execution 187, wait 271, io 2
[80] creation 1040, exit 1490, response 450, execution 7, wait 436, io 7
[79] creation 1039, exit 1498, response 459, execution 18, wait 434, io 6
[81] creation 1041, exit 1500, response 459, execution 15, wait 437, io 7
[82] creation 1042, exit 1501, response 459, execution 9, wait 451, io 0
[74] creation 1034, exit 1533, response 499, execution 88, wait 405, io 6
[86] creation 1046, exit 1534, response 488, execution 28, wait 453, io 6
[90] creation 1050, exit 1542, response 492, execution 1, wait 485, io 6
[85] creation 1045, exit 1570, response 525, execution 69, wait 450, io 6
[91] creation 1051, exit 1591, response 540, execution 20, wait 515, io 5
[88] creation 1048, exit 1597, response 549, execution 88, wait 455, io 5
[95] creation 1055, exit 1602, response 547, execution 1, wait 540, io 5
[87] creation 1047, exit 1638, response 591, execution 95, wait 486, io 9
[93] creation 1053, exit 1666, response 613, execution 73, wait 534, io 6
[89] creation 1049, exit 1671, response 622, execution 134, wait 481, io 6
[96] creation 1056, exit 1685, response 629, execution 81, wait 543, io 5
[97] creation 1057, exit 1776, response 719, execution 136, wait 578, io 5
[99] creation 1059, exit 1779, response 720, execution 92, wait 621, io 6
[101] creation 1061, exit 1785, response 724, execution 91, wait 624, io 9
[100] creation 1060, exit 1837, response 777, execution 168, wait 605, io 4
[102] creation 1062, exit 1855, response 793, execution 94, wait 695, io 4
[83] creation 1043, exit 1885, response 842, execution 2, wait 451, io 389
[103] creation 1063, exit 1934, response 871, execution 108, wait 759, io 4
[48] creation 1011, exit 2012, response 1001, execution 1, wait 109, io 891
[9] creation 999, exit 2019, response 1020, execution 17, wait 0, io 1003
[10] creation 1000, exit 2019, response 1019, execution 8, wait 0, io 1011
[84] creation 1044, exit 2117, response 1073, execution 3, wait 451, io 619
[15] creation 1002, exit 2153, response 1151, execution 2, wait 2, io 1147
[45] creation 1010, exit 2334, response 1324, execution 3, wait 99, io 1222
[94] creation 1054, exit 2519, response 1465, execution 1, wait 540, io 924
[92] creation 1052, exit 2737, response 1685, execution 1, wait 538, io 1146
[98] creation 1058, exit 2935, response 1877, execution 2, wait 605, io 1270
