[30] creation 276, exit 279, response 3, execution 2, wait 1, io 0
[36] creation 291, exit 470, response 179, execution 1, wait 8, io 207
[38] creation 293, exit 295, response 2, execution 0, wait 1, io 0
[42] creation 319, exit 321, response 2, execution 1, wait 1, io 0
[69] creation 439, exit 596, response 157, execution 2, wait 95, io 60
[43] creation 323, exit 333, response 10, execution 10, wait 47, io 23
[44] creation 324, exit 496, response 172, execution 29, wait 146, io 2
[10] creation 259, exit 652, response 393, execution 6, wait 28, io 359
[50] creation 336, exit 381, response 45, execution 5, wait 18, io 21
[18] creation 261, exit 680, response 419, execution 2, wait 1, io 416
[33] creation 288, exit 673, response 385, execution 39, wait 345, io 0
[51] creation 337, exit 362, response 25, execution 2, wait 3, io 20
[49] creation 335, exit 716, response 381, execution 45, wait 314, io 22
[52] creation 338, exit 362, response 24, execution 1, wait 17, io 19
[53] creation 339, exit 372, response 33, execution 4, wait 11, io 18
[54] creation 340, exit 364, response 24, execution 1, wait 5, io 17
[23] creation 264, exit 755, response 491, execution 51, wait 438, io 1
[55] creation 341, exit 390, response 49, execution 7, wait 26, io 16
[46] creation 329, exit 782, response 453, execution 55, wait 373, io 25
[56] creation 342, exit 365, response 23, execution 1, wait 7, io 15
[57] creation 343, exit 814, response 471, execution 60, wait 396, io 14
[58] creation 344, exit 376, response 32, execution 4, wait 15, io 13
[59] creation 345, exit 368, response 23, execution 0, wait 12, io 11
[61] creation 348, exit 431, response 83, execution 18, wait 56, io 9
[34] creation 289, exit 851, response 562, execution 1, wait 1, io 560
[70] creation 440, exit 864, response 424, execution 2, wait 88, io 334
[62] creation 349, exit 486, response 137, execution 27, wait 185, io 21
[63] creation 350, exit 644, response 294, execution 35, wait 250, io 8
[64] creation 351, exit 413, response 62, execution 12, wait 42, io 7
[65] creation 352, exit 435, response 83, execution 19, wait 58, io 6
[66] creation 353, exit 393, response 40, execution 7, wait 28, io 5
[67] creation 354, exit 422, response 68, execution 15, wait 53, io 0
[68] creation 355, exit 450, response 95, execution 8, wait 115, io 47
[60] creation 347, exit 947, response 600, execution 84, wait 506, io 10
[71] creation 441, exit 832, response 391, execution 63, wait 327, io 1
[72] creation 442, exit 487, response 45, execution 27, wait 102, io 11
[74] creation 449, exit 958, response 509, execution 86, wait 377, io 45
[76] creation 451, exit 501, response 50, execution 2, wait 8, io 47
[77] creation 452, exit 565, response 113, execution 21, wait 46, io 45
[79] creation 454, exit 873, response 419, execution 70, wait 305, io 44
[81] creation 456, exit 509, response 53, execution 2, wait 9, io 42
[82] creation 457, exit 912, response 455, execution 77, wait 335, io 42
[29] creation 271, exit 1017, response 746, execution 100, wait 646, io 0
[85] creation 460, exit 983, response 523, execution 91, wait 391, io 40
[31] creation 279, exit 1032, response 753, execution 104, wait 649, io 0
[39] creation 296, exit 1043, response 747, execution 107, wait 580, io 60
[87] creation 462, exit 982, response 520, execution 91, wait 393, io 36
[89] creation 463, exit 999, response 536, execution 95, wait 437, io 4
[90] creation 464, exit 1082, response 618, execution 118, wait 469, io 31
[73] creation 448, exit 1094, response 646, execution 99, wait 541, io 6
[40] creation 299, exit 1095, response 796, execution 123, wait 672, io 0
[45] creation 325, exit 1100, response 775, execution 101, wait 605, io 69
[75] creation 450, exit 1116, response 666, execution 130, wait 490, io 46
[32] creation 287, exit 1117, response 830, execution 106, wait 688, io 36
[83] creation 458, exit 1137, response 679, execution 138, wait 500, io 40
[47] creation 333, exit 1167, response 834, execution 155, wait 655, io 23
[41] creation 300, exit 1188, response 888, execution 169, wait 719, io 0
[86] creation 461, exit 1196, response 735, execution 175, wait 523, io 37
[48] creation 334, exit 1211, response 877, execution 190, wait 664, io 23
[80] creation 455, exit 1225, response 770, execution 1, wait 6, io 763
[12] creation 260, exit 1253, response 993, execution 232, wait 759, io 2
[78] creation 453, exit 1400, response 947, execution 2, wait 5, io 940
[9] creation 257, exit 1474, response 1217, execution 17, wait 801, io 399
[84] creation 459, exit 1595, response 1136, execution 1, wait 8, io 1127
