[25] creation 306, exit 359, response 53, execution 48, wait 2, io 2
[34] creation 308, exit 323, response 15, execution 8, wait 5, io 2
[43] creation 311, exit 407, response 96, execution 44, wait 52, io 0
[30] creation 307, exit 421, response 114, execution 110, wait 2, io 2
[51] creation 314, exit 428, response 114, execution 1, wait 113, io 0
[38] creation 309, exit 465, response 156, execution 142, wait 13, io 1
[41] creation 310, exit 518, response 208, execution 101, wait 105, io 1
[12] creation 302, exit 521, response 219, execution 212, wait 3, io 4
[56] creation 318, exit 525, response 207, execution 1, wait 206, io 0
[57] creation 319, exit 537, response 218, execution 10, wait 208, io 0
[54] creation 316, exit 557, response 241, execution 126, wait 114, io 1
[58] creation 320, exit 569, response 249, execution 30, wait 219, io 0
[53] creation 315, exit 587, response 272, execution 105, wait 165, io 2
[60] creation 322, exit 624, response 302, execution 52, wait 249, io 0
[55] creation 317, exit 667, response 350, execution 151, wait 199, io 0
[59] creation 321, exit 695, response 374, execution 96, wait 276, io 2
[64] creation 326, exit 702, response 376, execution 5, wait 369, io 1
[65] creation 327, exit 706, response 379, execution 2, wait 375, io 1
[66] creation 328, exit 708, response 380, execution 0, wait 378, io 2
[63] creation 325, exit 713, response 388, execution 44, wait 342, io 2
[67] creation 329, exit 714, response 385, execution 4, wait 380, io 1
[68] creation 330, exit 716, response 386, execution 2, wait 384, io 0
[70] creation 332, exit 720, response 388, execution 1, wait 387, io 0
[69] creation 331, exit 724, response 393, execution 7, wait 386, io 0
[61] creation 323, exit 728, response 405, execution 156, wait 248, io 1
[72] creation 334, exit 730, response 396, execution 3, wait 392, io 0
[73] creation 335, exit 731, response 396, execution 1, wait 395, io 0
[75] creation 337, exit 750, response 413, execution 17, wait 395, io 0
[76] creation 338, exit 760, response 422, execution 24, wait 399, io 1
[71] creation 333, exit 780, response 447, execution 58, wait 389, io 0
[78] creation 340, exit 794, response 454, execution 12, wait 435, io 7
[77] creation 339, exit 799, response 460, execution 35, wait 418, io 7
[62] creation 324, exit 803, response 479, execution 188, wait 289, io 2
[80] creation 342, exit 809, response 467, execution 7, wait 451, io 8
[79] creation 341, exit 815, response 474, execution 20, wait 448, io 6
[81] creation 343, exit 819, response 476, execution 13, wait 454, io 9
[82] creation 344, exit 819, response 475, execution 9, wait 458, io 8
[74] creation 336, exit 847, response 511, execution 86, wait 422, io 2
[86] creation 348, exit 852, response 504, execution 30, wait 465, io 9
[90] creation 352, exit 857, response 505, execution 2, wait 495, io 8
[85] creation 347, exit 885, response 538, execution 67, wait 463, io 8
[91] creation 353, exit 908, response 555, execution 21, wait 525, io 8
[88] creation 350, exit 921, response 571, execution 95, wait 468, io 8
[95] creation 357, exit 927, response 570, execution 2, wait 568, io 0
[87] creation 349, exit 962, response 613, execution 103, wait 502, io 8
[89] creation 351, exit 986, response 635, execution 136, wait 490, io 8
[93] creation 355, exit 989, response 634, execution 79, wait 555, io 0
[96] creation 358, exit 1010, response 652, execution 81, wait 571, io 0
[99] creation 361, exit 1104, response 743, execution 100, wait 642, io 1
[101] creation 363, exit 1114, response 751, execution 94, wait 651, io 5
[97] creation 359, exit 1114, response 755, execution 150, wait 605, io 0
[100] creation 362, exit 1174, response 812, execution 183, wait 629, io 0
[102] creation 364, exit 1191, response 827, execution 104, wait 722, io 0
[83] creation 345, exit 1245, response 900, execution 2, wait 467, io 431
[103] creation 365, exit 1275, response 910, execution 117, wait 793, io 0
[48] creation 313, exit 1291, response 978, execution 2, wait 111, io 865
[10] creation 301, exit 1381, response 1080, execution 9, wait 0, io 1071
[9] creation 300, exit 1385, response 1085, execution 18, wait 0, io 1066
[84] creation 346, exit 1452, response 1106, execution 2, wait 464, io 640
[19] creation 304, exit 1481, response 1177, execution 1, wait 1, io 1175
[46] creation 312, exit 1658, response 1346, execution 2, wait 110, io 1234
[94] creation 356, exit 1855, response 1499, execution 2, wait 567, io 930
[92] creation 354, exit 2066, response 1712, execution 2, wait 556, io 1154
[98] creation 360, exit 2260, response 1900, execution 2, wait 628, io 1270
