[213] creation 8356, exit 9072, response 716, execution 16, wait 629, io 71
[214] creation 8357, exit 9043, response 686, execution 7, wait 514, io 165
[216] creation 8359, exit 9407, response 1048, execution 1, wait 655, io 392
[218] creation 8361, exit 11405, response 3044, execution 99, wait 2886, io 59
[250] creation 8449, exit 8453, response 4, execution 2, wait 2, io 0
[251] creation 9124, exit 9229, response 105, execution 104, wait 1, io 0
[252] creation 9229, exit 9543, response 314, execution 92, wait 530, io 3
[253] creation 9230, exit 9266, response 36, execution 35, wait 1, io 0
[256] creation 9268, exit 9482, response 214, execution 2, wait 36, io 176
[261] creation 9539, exit 11415, response 1876, execution 148, wait 1728, io 0
[258] creation 9270, exit 9271, response 1, execution 1, wait 0, io 0
[259] creation 9271, exit 9533, response 262, execution 93, wait 99, io 70
[262] creation 9540, exit 9585, response 45, execution 1, wait 37, io 7
[263] creation 9541, exit 9589, response 48, execution 10, wait 35, io 3
[264] creation 9543, exit 9598, response 55, execution 30, wait 23, io 2
[265] creation 9544, exit 9743, response 199, execution 81, wait 117, io 1
[266] creation 9545, exit 9763, response 218, execution 49, wait 169, io 0
[268] creation 9854, exit 11597, response 1743, execution 167, wait 1570, io 6
[269] creation 9855, exit 10059, response 204, execution 39, wait 161, io 4
[270] creation 9857, exit 9870, response 13, execution 4, wait 6, io 3
[272] creation 9859, exit 9861, response 2, execution 0, wait 1, io 1
[273] creation 10113, exit 10117, response 4, execution 4, wait 0, io 0
[274] creation 10117, exit 10119, response 2, execution 2, wait 0, io 0
[275] creation 10119, exit 10125, response 6, execution 6, wait 0, io 0
[276] creation 10125, exit 10126, response 1, execution 1, wait 0, io 0
[260] creation 9274, exit 11682, response 2408, execution 125, wait 2283, io 0
[277] creation 10126, exit 10177, response 51, execution 52, wait 0, io 0
[278] creation 10178, exit 10181, response 3, execution 3, wait 0, io 0
[279] creation 10181, exit 10184, response 3, execution 0, wait 3, io 0
[280] creation 10185, exit 11056, response 871, execution 77, wait 789, io 5
[281] creation 10186, exit 10201, response 15, execution 14, wait 1, io 0
[282] creation 10201, exit 10228, response 27, execution 21, wait 6, io 0
[283] creation 10228, exit 10263, response 35, execution 35, wait 0, io 0
[284] creation 10263, exit 10581, response 318, execution 12, wait 292, io 14
[285] creation 10264, exit 11073, response 809, execution 17, wait 773, io 19
[286] creation 10265, exit 11033, response 768, execution 6, wait 744, io 18
[288] creation 10267, exit 10693, response 426, execution 8, wait 402, io 16
[289] creation 10268, exit 10739, response 471, execution 1, wait 375, io 95
[271] creation 9858, exit 11775, response 1917, execution 2, wait 1913, io 2
[290] creation 10269, exit 10668, response 399, execution 1, wait 90, io 308
[291] creation 10270, exit 10802, response 532, execution 59, wait 460, io 13
[292] creation 10271, exit 10687, response 416, execution 24, wait 380, io 12
[293] creation 10272, exit 10842, response 570, execution 92, wait 459, io 19
[294] creation 10273, exit 10959, response 686, execution 79, wait 597, io 10
[295] creation 10274, exit 10974, response 700, execution 122, wait 558, io 20
[296] creation 10275, exit 10480, response 205, execution 1, wait 196, io 8
[297] creation 10276, exit 10403, response 127, execution 22, wait 91, io 14
[267] creation 9853, exit 11849, response 1996, execution 144, wait 1852, io 0
[298] creation 10277, exit 11368, response 1091, execution 1, wait 204, io 886
[299] creation 10278, exit 10704, response 426, execution 68, wait 353, io 5
[217] creation 8360, exit 11864, response 3504, execution 44, wait 3459, io 1
[300] creation 10279, exit 11223, response 944, execution 1, wait 219, io 724
[301] creation 10280, exit 10315, response 35, execution 2, wait 27, io 6
[302] creation 10281, exit 10937, response 656, execution 71, wait 583, io 2
[303] creation 10282, exit 11020, response 738, execution 127, wait 610, io 1
[304] creation 10283, exit 11444, response 1161, execution 0, wait 73, io 1088
[310] creation 11073, exit 11396, response 323, execution 85, wait 237, io 1
[312] creation 11137, exit 11301, response 164, execution 80, wait 83, io 1
[313] creation 11138, exit 11365, response 227, execution 91, wait 136, io 0
[314] creation 11140, exit 11585, response 445, execution 95, wait 349, io 1
[311] creation 11074, exit 11929, response 855, execution 162, wait 693, io 0
[287] creation 10266, exit 11967, response 1701, execution 12, wait 1672, io 17
[254] creation 9266, exit 12005, response 2739, execution 1, wait 2206, io 532
[215] creation 8358, exit 12049, response 3691, execution 183, wait 3507, io 1
