[13] creation 342, exit 566, response 224, execution 190, wait 34, io 0
[17] creation 344, exit 610, response 266, execution 42, wait 223, io 1
[19] creation 345, exit 699, response 354, execution 88, wait 265, io 1
[21] creation 346, exit 703, response 357, execution 3, wait 353, io 1
[23] creation 347, exit 798, response 451, execution 94, wait 357, io 0
[27] creation 349, exit 837, response 488, execution 37, wait 451, io 0
[25] creation 348, exit 951, response 603, execution 102, wait 501, io 0
[35] creation 353, exit 1143, response 790, execution 92, wait 692, io 6
[37] creation 354, exit 1152, response 798, execution 111, wait 687, io 0
[39] creation 355, exit 1294, response 939, execution 141, wait 798, io 0
[41] creation 356, exit 1297, response 941, execution 1, wait 939, io 1
[43] creation 357, exit 1308, response 951, execution 10, wait 940, io 1
[45] creation 358, exit 1338, response 980, execution 29, wait 950, io 1
[49] creation 360, exit 1391, response 1031, execution 51, wait 979, io 1
[47] creation 359, exit 1496, response 1137, execution 79, wait 1057, io 1
[50] creation 361, exit 1603, response 1242, execution 129, wait 1113, io 0
[51] creation 362, exit 1760, response 1398, execution 154, wait 1243, io 1
[53] creation 363, exit 1800, response 1437, execution 38, wait 1398, io 1
[55] creation 364, exit 1806, response 1442, execution 5, wait 1437, io 0
[57] creation 365, exit 1809, response 1444, execution 1, wait 1443, io 1
[59] creation 366, exit 1812, response 1446, execution 3, wait 1442, io 1
[61] creation 367, exit 1817, response 1450, execution 4, wait 1446, io 0
[63] creation 368, exit 1819, response 1451, execution 1, wait 1450, io 0
[65] creation 369, exit 1826, response 1457, execution 5, wait 1452, io 0
[67] creation 370, exit 1828, response 1458, execution 1, wait 1457, io 0
[69] creation 371, exit 1880, response 1509, execution 50, wait 1459, io 0
[71] creation 373, exit 1884, response 1511, execution 3, wait 1508, io 0
[72] creation 374, exit 1886, response 1512, execution 0, wait 1512, io 0
[75] creation 376, exit 1904, response 1528, execution 16, wait 1512, io 0
[33] creation 352, exit 1937, response 1585, execution 1, wait 1568, io 16
[73] creation 375, exit 2012, response 1637, execution 73, wait 1556, io 8
[76] creation 377, exit 2032, response 1655, execution 21, wait 1611, io 23
[77] creation 378, exit 2063, response 1685, execution 30, wait 1625, io 30
[78] creation 379, exit 2075, response 1696, execution 11, wait 1655, io 30
[79] creation 380, exit 2092, response 1712, execution 15, wait 1667, io 30
[80] creation 381, exit 2100, response 1719, execution 6, wait 1683, io 30
[81] creation 382, exit 2113, response 1731, execution 13, wait 1717, io 1
[82] creation 383, exit 2122, response 1739, execution 7, wait 1703, io 29
[85] creation 386, exit 2182, response 1796, execution 57, wait 1710, io 29
[86] creation 387, exit 2207, response 1820, execution 23, wait 1768, io 29
[87] creation 388, exit 2366, response 1978, execution 81, wait 1868, io 29
[88] creation 389, exit 2369, response 1980, execution 78, wait 1873, io 29
[89] creation 390, exit 2481, response 2091, execution 107, wait 1955, io 29
[90] creation 391, exit 2484, response 2093, execution 1, wait 2060, io 32
[91] creation 392, exit 2503, response 2111, execution 18, wait 2061, io 32
[93] creation 394, exit 2568, response 2174, execution 63, wait 2079, io 32
[95] creation 396, exit 2572, response 2176, execution 2, wait 2143, io 31
[96] creation 397, exit 2638, response 2241, execution 65, wait 2145, io 31
[97] creation 398, exit 2756, response 2358, execution 116, wait 2211, io 31
[99] creation 400, exit 2927, response 2527, execution 79, wait 2417, io 31
[100] creation 401, exit 2992, response 2591, execution 152, wait 2408, io 31
[101] creation 402, exit 3147, response 2745, execution 77, wait 2636, io 32
[102] creation 403, exit 3160, response 2757, execution 84, wait 2642, io 31
[103] creation 404, exit 3322, response 2918, execution 90, wait 2792, io 36
[83] creation 384, exit 3371, response 2987, execution 0, wait 1720, io 1267
[31] creation 351, exit 3461, response 3110, execution 1, wait 490, io 2619
[84] creation 385, exit 3614, response 3229, execution 1, wait 1710, io 1518
[15] creation 343, exit 3699, response 3356, execution 4, wait 29, io 3323
[29] creation 350, exit 3822, response 3472, execution 2, wait 489, io 2981
[11] creation 341, exit 3857, response 3516, execution 11, wait 21, io 3484
[9] creation 339, exit 3860, response 3521, execution 25, wait 1, io 3495
[94] creation 395, exit 3996, response 3601, execution 1, wait 2143, io 1457
[92] creation 393, exit 4403, response 4010, execution 0, wait 2090, io 1920
[98] creation 399, exit 4576, response 4177, execution 1, wait 2328, io 1848
